,Accuracy,Image,Set,Experiment
936,1.0,1492,test,4
937,1.0,1493,test,4
938,1.0,1498,test,4
939,1.0,1501,test,4
940,1.0,1505,test,4
941,1.0,1506,test,4
942,1.0,1507,test,4
943,1.0,1515,test,4
944,1.0,1527,test,4
945,1.0,1531,test,4
946,1.0,1532,test,4
947,1.0,1543,test,4
948,1.0,1546,test,4
949,1.0,1548,test,4
950,1.0,1551,test,4
951,1.0,1553,test,4
952,1.0,1570,test,4
953,1.0,1574,test,4
954,1.0,1575,test,4
955,1.0,1583,test,4
956,1.0,1598,test,4
957,1.0,1615,test,4
958,1.0,1634,test,4
959,1.0,1636,test,4
960,1.0,1646,test,4
961,1.0,1649,test,4
962,1.0,1653,test,4
963,1.0,1664,test,4
964,1.0,1671,test,4
965,1.0,1672,test,4
966,1.0,1688,test,4
967,1.0,1691,test,4
968,1.0,1695,test,4
969,1.0,1697,test,4
970,1.0,1699,test,4
971,1.0,1701,test,4
972,1.0,1710,test,4
973,1.0,1711,test,4
974,1.0,1722,test,4
975,1.0,1723,test,4
976,1.0,1724,test,4
977,1.0,1726,test,4
978,0.92,1742,test,4
979,1.0,1749,test,4
980,1.0,1762,test,4
981,1.0,1767,test,4
982,1.0,1768,test,4
983,1.0,1771,test,4
984,1.0,1783,test,4
985,1.0,1784,test,4
986,1.0,1788,test,4
987,1.0,1795,test,4
988,1.0,1800,test,4
989,1.0,1805,test,4
990,1.0,1831,test,4
991,0.08,1832,test,4
992,1.0,1833,test,4
993,0.92,1834,test,4
994,1.0,1835,test,4
995,1.0,1845,test,4
996,1.0,1854,test,4
997,1.0,1866,test,4
998,1.0,1867,test,4
999,1.0,1869,test,4
1000,1.0,1876,test,4
1001,1.0,1880,test,4
1002,1.0,1881,test,4
1003,1.0,1886,test,4
1004,1.0,1900,test,4
1005,1.0,1903,test,4
1006,1.0,1908,test,4
1007,1.0,1919,test,4
1008,1.0,1929,test,4
1009,1.0,1932,test,4
1010,1.0,1937,test,4
1011,1.0,1938,test,4
1012,1.0,1943,test,4
1013,1.0,1950,test,4
1014,1.0,1957,test,4
1015,1.0,1962,test,4
1016,1.0,1967,test,4
1017,1.0,1974,test,4
1018,1.0,1979,test,4
1019,1.0,1983,test,4
1020,1.0,1988,test,4
1021,1.0,1992,test,4
1022,1.0,2007,test,4
1023,1.0,2027,test,4
1024,1.0,2030,test,4
1025,1.0,2043,test,4
1026,1.0,2049,test,4
1027,1.0,2052,test,4
1028,1.0,2060,test,4
1029,1.0,2062,test,4
1030,1.0,2067,test,4
1031,1.0,2068,test,4
1032,1.0,2072,test,4
1033,1.0,2086,test,4
1034,1.0,2094,test,4
1035,1.0,2099,test,4
1036,1.0,2105,test,4
1037,1.0,2112,test,4
1038,1.0,2130,test,4
1039,0.92,2131,test,4
1040,1.0,2133,test,4
1041,1.0,2134,test,4
1042,1.0,2145,test,4
1043,1.0,2154,test,4
1044,1.0,2175,test,4
1045,1.0,2177,test,4
1046,1.0,2182,test,4
1047,0.92,2184,test,4
1048,1.0,2189,test,4
1049,1.0,2193,test,4
1050,1.0,2202,test,4
1051,1.0,2204,test,4
1052,1.0,2209,test,4
1053,1.0,2222,test,4
1054,1.0,2223,test,4
1055,1.0,2245,test,4
1056,1.0,2247,test,4
1057,1.0,2248,test,4
1058,0.92,2256,test,4
1059,1.0,2264,test,4
1060,1.0,2286,test,4
1061,1.0,2287,test,4
1062,1.0,2293,test,4
1063,1.0,2331,test,4
1064,1.0,2346,test,4
1065,1.0,2356,test,4
1066,1.0,2372,test,4
1067,1.0,2375,test,4
1068,1.0,2376,test,4
1069,1.0,2380,test,4
1070,1.0,2385,test,4
1071,1.0,2405,test,4
1072,1.0,2409,test,4
1073,1.0,2412,test,4
1074,1.0,2420,test,4
1075,1.0,2431,test,4
1076,1.0,2446,test,4
1077,1.0,2449,test,4
1078,1.0,2464,test,4
1079,1.0,2466,test,4
1080,1.0,2488,test,4
1081,1.0,2491,test,4
1082,1.0,2500,test,4
1083,1.0,2510,test,4
1084,1.0,2512,test,4
